Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Symbols for Accessible Information,pxl8 Digital Imaging,All of UK,32 Bovet Street,Wellington,TA21 8JL,01823 660844,andy@pxl8.co.uk,Andy,Jones,"5 years experience in producing symbols and images for accessible information. We can provide anything from a single symbol to a complete document in accessible format. Our specialist area is producing documents where no previous experience of a symbol system such as Widgit, STC, etc. is required making documents suitable for all.",all,Prices start from £31.25,,Media & Communication,
Mike Padmore,Mike Padmore,All of UK,8 St Marys Square,Aylesbury,HP20 2JJ,01296 483901,mike_padmore@zen.co.uk,Mike,Padmore,"I am a Director/Producer and Video Facilitator. I can make a video or DVD for you, or I can support you to make the programme yourself. I have produced media for charity, council and corporate clients. I also lead training workshops in video.

I recently made videos for Talkback Self Advocacy about people with learning disabilities having real jobs. I have just finished an interactive DVD for Our Voice about speaking up for yourself. Both projects featured people with learning disabilities telling the story themselves.

Please contact me to see my work. I often make programmes in association with Phoenix Film and Television Limited.",all,Yes - depending on project,,Media & Communication,
St Annes Community Services,St Annes Community Services,N.E. England,"6 st marks avenue,leeds,ls2 9bn",Leeds,LS2 9BN,1132435151,info@st-annes.org.uk,Our Friendly,Staff,"St Annes provides a wide range of servies to the most vulnerable people in society. St Annes provides accomodation and support and care to people with Learning Disabilities, Mental Health problems, the Homeless and those with misuse of substance issues",adult,,www.st-annes.org.uk,Charities,
Decoda,Decoda,S.E. England,"Theaklen House,Theaklen Drive",St Leonards on Sea,TN38 9AZ,01424 439192,enquiries@decoda.org,Gary,Mills,"We run the Music Gym at Horntye Park in Hastings: a weekly facility, now in its fourth year, for people with complex needs involving inflatables, images, music and sound technology. We're currently developing a self-contained Music Gym in an interactive, inflatable maze accessible by wheelchair users.",all,On request,www.decoda.org,Therapy,
Support Team for VI Pupils,"Children & Young People's Service - Inclusion, VI Team",Midlands,"VI Resource Base,Ise Community School,Deeble Road,Kettering,NN15 7AA",Kettering,NN15 7AA,01536 526006,abeauvoir@northamptonshire.gov.uk,An-Marie,Beauvoir,We support all pre-school and school age pupils up to 19 who have a visual impairment in their community schools in Northamptonshire.  We have a counselling service for children with visual impairment and their families.  We also offer some braille translation services to outside organisations.,children,Free to children.  Cost to organisations.,,Education,
Susan Jensen Training,Susan Jensen Training,All of UK,"PO Box 26,Fleetwood,Lancashire,FY7 8FE",Fleetwood,FY7 8FE,01253 808040,info@susanjensentraining.co.uk,Susan,Jensen,"Susan Jensen Training offers training, consultancy and assessments for users of adapted computer systems. We provide client-led services for people with physical or sensory impairments, enabling them to make effective use of the computer from the start.",all,,www.susanjensentraining.co.uk,Computers & The Internet,
ICT Training,The Advisory Unit: Computers in Education,All of UK,"126 Gt North Rd,Hatfield,Herts,AL9 5JZ",Hatfield,AL9 5JZ,01707 266714,sallyp@advsory-unit.org.uk,Sally,Paveley,We provide training in the use of ICT to staff working with children and adults who have SLD & PMLD.  One day training courses take place at our centre in Hatfield and can also be delivered on-site as required.  Details can be found on our website.,adult,Yes,www.advisory-unit.org.uk,Training,
"University of Wolverhampton, School of Health",Learning Disability Nurse Education,Midlands,"School of Health,Boundary House,University of Wolverhampton,Walsall Campus,Walsall,West Midlands,Ws1 3BD",Walsall,WS1 3BD,01902 518800,p.d.eggison@wlv.ac.uk,Pete,Eggison,"Why choose Learning Disability Nursing as a career?

The School of Health at the University of Wolverhampton currently offers a 3-year Registered Nurse/BSc (Hons) (Learning Disability) and a 3-year Registered Nurse/Diploma in Higher Education (Learning Disability) courses.

The school also offers a variety of continuing education courses ranging from stand alone modules to Diploma in Higher Education (Learning Disability) and BSc(Hons) Learning Disability.",adult,No course fees for RN/BSc (Hons) LD or RN/Dip.HE LD. Fees apply for continuing education courses,www.wlv.ac.uk/soh,Education,#NAME?
JISC TechDis Service,JISC TechDis,All of UK,"JISC TechDis,The Higher Education Academy Building,Innovation Way,York Science Park",York,YO10 5BR,01904 717580,helpdesk@techdis.ac.uk,JISC,TechDis,"The JISC TechDis Service aims to be the leading educational advisory service, working across the UK, in the fields of accessibility and inclusion. 
Our mission is to support the education sector in achieving greater accessibility and inclusion by stimulating innovation and providing expert advice and guidance on disability and technology.",adult,No. Only available to people in or affiliated with education,www.techdis.ac.uk,Advice,Guidance to Post-16 Sector
Keycomm Lothian Communication Technology Service,Keycomm,Scotland,40 Broomhouse Crescent Edinburgh EH11 3UB,Edinburgh,EH11 3UB,1314436775,deborah.jans@educ.edin.gov.uk,Deborah,Jans,provide assessment and loan of equipment of communication aids to any individual with a severe communication impairment who lives within Lothian Region.,all,no,,Communication Aids / AAC,
AAC research and software development,Modemo Ltd,All of UK,"Ground Floor Flat,19 Overland Road,Mumbles,SA3 4LP",Mumbles,SA3 4LP,1792368115,,Tuomo,Riihimaki,AAC research and software development. We are marketing worldwide a symbol based communication software Assistant with unique functions. We are also developing user-group specific ready-to-use vocabularies for communication software. In research we are e.g.a member of www.wwaac.org and are involved in the CCF concept coding/semantic web work http://dewey.computing.dundee.ac.uk/ccf/ .,all,commercial software and consultation work,www.modemo.co.uk,Software Company,
Speech Recognition Computer Training,1-2-1 PC Training,All of UK,"29 Primrose Ave, Gee Cross, Hyde Cheshire SK14 5BU",Hyde Cheshire,SK14 5BU,07743 931 154,jackie.wilde@1-2-1pctraining.com,Jackie,Wilde,"One-to-one training on computers specialising in speech recognition software (Dragon NaturallySpeaking and Winscribe digital dictation.Software solutions, customisation, templates creation all voice-activated.",all,Yes varies depending on requirements,www.1-2-1pctraining.com,Training,
Event and Media Solutions,Event and Media Solutions,Scotland,"Unit 13 Pentland Court,Saltire Centre",Glenrothes,KY6 2DA,08451 555 555 444813,john.wilson-sw@fife.gov.uk,John,Wilson,"Event and Media Solutions are part of
the Social Work Service, Fife Council.
We provide employment to people with disabilities, producing a
range of services including:

CD / DVD duplication
We offer a CD and DVD duplication
service, from 1 to 1000 copies. We can
print your branding directly onto the
CD, print inserts for the cases and
package them to suit your needs. All
artwork should be supplied as hi-resolution JPEGs.

Interactive CD
We can produce interactive CDs for use
in presentations, training and exhibitions.
From content supplied we can add in
your video, speech and graphics.
Video - filming and editing
Using digital video production
equipment we can film and edit any
event. We can then record it on DVD
or short video productions can even
be loaded on CD.

Conference planning
We can assist you in planning your conference, prepare delegate
packs, registration and also provide and operate audio and video equipment to ensure your day runs as smoothly as possible.
We have a range of media equipment for hire, we can setup and operate the equipment for you.
• projector screen
• laptops
• PA system
• hand held wireless microphones
• projector
• DVD player

Promotional materials
Your branding and message can be inserted into any of the
following items:
• badges
• bottle openers
• mirrors
• keyrings
• magnets
• photo stands

Accessible information
We can transfer all your information into accessible formats for
people with learning difficulties by:
• using key points that are easy to follow
• using words that everyone can understand
• using shorter sentences
• using pictures and photos
• transferring information onto tape or CD",adult,Yes,,Employment Services,Fife Council Social Work Service
